iter	Passed	Remaining
398	136654	377082
399	137030	376833
400	137361	376460
401	137724	376173
402	138053	375794
403	138415	375502
404	138800	375274
405	139172	375012
406	139511	374658
407	139866	374349
408	140204	373992
409	140568	373707
410	140929	373412
411	141084	372573
412	141445	372278
413	141730	371786
414	142088	371483
415	142470	371244
416	142829	370946
417	143115	370457
418	143456	370111
419	143686	369480
420	144072	369250
421	144416	368911
422	144783	368634
423	145114	368263
424	145459	367926
425	145577	367019
426	145950	366756
427	146314	366470
428	146668	366159
429	147051	365918
430	147372	365523
431	147731	365224
432	148081	364903
433	148260	364161
434	148502	363575
435	148861	363275
436	149217	362971
437	149588	362700
438	149916	362326
439	150293	362071
440	150499	361403
441	150763	360876
442	151126	360589
443	151470	360253
444	151839	359978
445	152212	359712
446	152578	359429
447	152913	359074
448	153267	358762
449	153642	358499
450	153984	358159
451	154365	357909
452	154741	357648
453	155100	357344
454	155475	357080
455	155812	356728
456	156167	356417
457	156602	356288
458	156985	356040
459	157346	355740
460	157748	355532
461	158106	355226
462	158468	354929
463	158843	354659
464	159219	354391
465	159591	354114
466	159966	353844
467	160334	353557
468	160704	353275
469	161096	353041
470	161505	352844
471	161894	352599
472	162313	352423
473	162708	352191
474	163107	351969
475	163496	351722
476	163827	351353
477	164191	351053
478	164578	350802
479	164990	350604
480	165351	350298
481	165769	350110
482	166188	349925
483	166588	349698
484	166971	349435
485	167370	349204
486	167764	348964
487	168152	348710
488	168499	348369
489	168915	348171
490	169299	347907
491	169718	347715
492	170114	347476
493	170502	347218
494	170884	346946
495	171284	346713
496	171659	346427
497	172058	346189
498	172447	345932
499	172850	345700
500	173230	345422
501	173589	345104
502	173967	344822
503	174372	344593
504	174769	344347
505	175125	344020
506	175527	343784
507	175876	343443
508	176206	343066
509	176561	342736
510	176939	342451
511	177314	342162
512	177714	341919
513	178081	341611
514	178438	341284
515	178824	341014
516	179221	340764
517	179629	340532
518	180022	340274
519	180356	339902
520	180724	339595
521	181123	339345
522	181475	339009
523	181853	338719
524	182196	338364
525	182553	338037
526	182930	337744
527	183347	337525
528	183742	337266
529	184109	336955
530	184482	336654
531	184836	336318
532	185173	335953
533	185555	335668
534	185943	335393
535	186259	334988
536	186671	334757
537	187049	334463
538	187425	334166
539	187811	333886
540	188200	333612
541	188580	333321
542	188967	333042
543	189331	332722
544	189711	332429
545	190096	332145
546	190484	331868
547	190900	331637
548	191279	331341
549	191644	331022
550	192055	330781
551	192443	330500
552	192806	330176
553	193144	329810
554	193522	329510
555	193858	329141
556	194233	328837
557	194597	328513
558	194950	328171
559	195319	327857
560	195663	327500
561	196037	327194
562	196401	326869
563	196796	326597
564	197195	326332
565	197572	326030
566	197954	325734
567	198316	325406
568	198709	325129
569	199082	324818
570	199472	324535
571	199831	324202
572	200174	323842
573	200544	323526
574	200899	323186
575	201347	322995
576	201736	322708
577	202107	322392
578	202490	322095
579	202870	321795
580	203259	321506
581	203633	321195
582	203997	320867
583	204363	320542
584	204707	320183
585	205088	319881
586	205441	319536
587	205839	319261
588	206185	318904
589	206588	318636
590	206937	318285
591	207307	317964
592	207675	317642
593	208043	317319
594	208413	316999
595	208784	316679
596	209152	316355
597	209497	315998
598	209889	315710
599	210284	315426
600	210687	315154
601	211050	314822
602	211419	314499
603	211756	314128
604	212196	313910
605	212570	313594
606	212930	313256
607	213304	312940
608	213678	312623
609	214025	312266
610	214402	311954
611	214785	311649
612	215144	311309
613	215523	311000
614	215903	310691
615	216287	310386
616	216651	310053
617	217033	309746
618	217405	309425
619	217759	309078
620	218131	308755
621	218481	308403
622	218856	308085
623	219218	307748
624	219577	307408
625	219938	307070
626	220344	306795
627	220719	306476
628	221107	306175
629	221482	305856
630	221861	305543
631	222270	305269
632	222630	304930
633	222993	304594
634	223352	304251
635	223710	303908
636	224052	303543
637	224396	303181
638	224734	302811
639	225100	302478
640	225471	302152
641	225821	301798
642	226161	301431
643	226534	301107
644	226887	300757
645	227270	300447
646	227580	300040
647	228007	299787
648	228356	299432
649	228734	299114
650	229104	298786
651	229474	298458
652	229845	298130
653	230227	297816
654	230600	297492
655	230940	297125
656	231322	296810
657	231671	296454
658	232033	296115
659	232431	295822
