iter	Logloss
0	0.6639526155
1	0.6372473411
2	0.6097248851
3	0.5865367415
4	0.5638962913
5	0.5441451605
6	0.5251555592
7	0.5090197066
8	0.4924535021
9	0.4781115527
10	0.4655139426
11	0.4540065787
12	0.4420192497
13	0.4320777543
14	0.4230080363
15	0.4147727393
16	0.4072613242
17	0.4000888697
18	0.3941994298
19	0.3881507022
20	0.3823824619
21	0.3775333657
22	0.3731564323
23	0.3686649767
24	0.3647714052
25	0.3611015766
26	0.3577210819
27	0.3543281009
28	0.3508770046
29	0.3484061236
30	0.3460386098
31	0.3435958062
32	0.3412047878
33	0.3390611383
34	0.3370172691
35	0.3350759228
36	0.333717339
37	0.3322541779
38	0.3305074991
39	0.32922991
40	0.3280822929
41	0.3267730177
42	0.3256380137
43	0.3244879464
44	0.3235153807
45	0.3226362867
46	0.3218123137
47	0.3210422041
48	0.3201661234
49	0.3195481114
50	0.318758858
51	0.3181536287
52	0.3175871124
53	0.3169808135
54	0.3163996159
55	0.3158820472
56	0.3153907677
57	0.3149849343
58	0.3145638194
59	0.3143360422
60	0.313931133
61	0.3135610835
62	0.3132136367
63	0.3127487713
64	0.3123751463
65	0.3121171207
66	0.3117980604
67	0.3115202421
68	0.3112300552
69	0.3109553136
70	0.3107512638
71	0.3105325899
72	0.3103089246
73	0.3100731221
74	0.3098461138
75	0.3096361583
76	0.3094706846
77	0.3092861308
78	0.3091096251
79	0.3089479489
80	0.3088017654
81	0.3086643555
82	0.3085585973
83	0.3084179673
84	0.3082339684
85	0.3081274499
86	0.3080470872
87	0.3079638935
88	0.3078310406
89	0.3077509673
90	0.3076640756
91	0.3075531812
92	0.3074682417
93	0.3073640356
94	0.3072686239
95	0.3071675222
96	0.3071000013
97	0.30698677
98	0.306903401
99	0.3068178239
100	0.3067303572
101	0.3066745253
102	0.3065921352
103	0.3065419592
104	0.3064328686
105	0.3063594188
106	0.3063039996
107	0.3061946306
108	0.3061440031
109	0.3060869506
110	0.3060283248
111	0.3059235821
112	0.3058555003
113	0.3058117852
114	0.3057720042
115	0.3057306113
116	0.3056679993
117	0.3056024451
118	0.3055482199
119	0.305508289
120	0.3054621499
121	0.3054283452
122	0.3053813763
123	0.3053178812
124	0.3053085056
125	0.3052725905
126	0.3052088279
127	0.3051659785
128	0.3051298874
129	0.30507806
130	0.3050513743
131	0.3050011129
132	0.3049766182
133	0.3049469712
134	0.3049048914
135	0.304870501
136	0.3048427227
137	0.3048049253
138	0.3047672428
139	0.3047327278
140	0.3046996265
141	0.3046613736
142	0.304639797
143	0.3046174305
144	0.3045794862
145	0.3045438964
146	0.3045119024
147	0.3044825016
148	0.3044564597
149	0.3044085093
150	0.3043420134
151	0.3043171884
152	0.3042905115
153	0.3042783047
154	0.3042556943
155	0.3042339622
156	0.3041969125
157	0.3041744557
158	0.3041542028
159	0.3041274227
160	0.3041056606
161	0.3040832777
162	0.3040744918
163	0.3040386883
164	0.3039946438
165	0.3039781753
166	0.3039592063
167	0.3039028573
168	0.3038673066
169	0.3038460895
170	0.3038194582
171	0.3037944292
172	0.3037752178
173	0.303758176
174	0.3036941817
175	0.3036771057
176	0.3036689239
177	0.3036584849
178	0.3036438832
179	0.3036408513
180	0.3036056895
181	0.3035847469
182	0.3035749604
183	0.3035711949
184	0.3035515214
185	0.3035304537
186	0.3035122674
187	0.3034898889
188	0.3034691847
189	0.3034519086
190	0.3034160165
191	0.3033956208
192	0.303377619
193	0.3033676284
194	0.3033509614
195	0.3033430853
196	0.3033244983
197	0.3033015872
198	0.3032808859
199	0.303262311
200	0.3032460761
201	0.3032437968
202	0.3032305851
203	0.3032135419
204	0.3031893781
205	0.3031716103
206	0.3031500345
207	0.3031430415
208	0.3031219688
209	0.3031062076
210	0.3030847428
211	0.3030652019
212	0.3030499568
213	0.3030065287
214	0.3029922979
215	0.3029776494
216	0.302958927
217	0.3029474525
218	0.3029351604
219	0.3029279287
220	0.3029155396
221	0.3029149868
222	0.3029087622
223	0.302899425
224	0.30288489
225	0.3028533371
226	0.3028322063
227	0.3028201162
228	0.3028178818
229	0.3028053125
230	0.3028046708
231	0.3027953693
232	0.3027912071
233	0.3027817618
234	0.3027773587
235	0.3027733797
236	0.3027658726
237	0.3027552949
238	0.3026916612
239	0.3026844963
240	0.3026800355
241	0.3026752485
242	0.3026559199
243	0.3026439381
244	0.3025981137
245	0.3025819398
246	0.3025750467
247	0.3025309571
248	0.3025106328
249	0.3025057637
250	0.3024792556
251	0.302470876
252	0.3024547563
253	0.3024450952
254	0.3024333402
255	0.3024188841
256	0.3024094281
257	0.3023977714
258	0.3023961587
259	0.3023662757
260	0.3023546808
261	0.3023397836
262	0.3023198366
263	0.302308886
264	0.3022845801
265	0.3022743067
266	0.3022671285
267	0.3022659537
268	0.3022592955
269	0.3022569607
270	0.3022458093
271	0.3022327801
272	0.3022221651
273	0.3022209051
274	0.3022192042
275	0.3022108892
276	0.3021908918
277	0.3021659386
278	0.3021453833
279	0.3021317544
280	0.30212635
281	0.3021174218
282	0.3021017846
283	0.3020946954
284	0.3020906216
285	0.3020786956
286	0.3020673539
287	0.3020348801
288	0.3020158174
289	0.3020058622
290	0.3019945205
291	0.3019811575
292	0.3019764624
293	0.3019606791
294	0.3019510303
295	0.3019510251
296	0.3019457307
297	0.3019420212
298	0.301933651
299	0.3019225723
300	0.3019112559
301	0.3019096647
302	0.3018908763
303	0.3018830121
304	0.3018772219
305	0.3018763704
306	0.301872441
307	0.3018506207
308	0.3018437407
309	0.3018308088
310	0.3018169797
311	0.3018059566
312	0.3017936193
313	0.3017889568
314	0.3017669794
315	0.3017603916
316	0.3017596465
317	0.3017509755
318	0.301734617
319	0.3017136428
320	0.3017100761
321	0.3016882585
322	0.3016725894
323	0.3016565345
324	0.3016407053
325	0.3016375807
326	0.3016243593
327	0.3016123242
328	0.301612324
329	0.3015893667
330	0.30158077
